strength,heat,stability,workability,corrosion,quantum_drift,cluster,cluster_name,score_overall,score_struct,score_high_temp,score_outer,score_catalyst,score_superconductor
22.570910395909628,28.382121624347377,0.7579458397428578,5.4900259635901065,48.70644830341868,0.4228302199513903,0,Cluster0,101.33626808933393,,68.59622917641674,106.02690847209395,,
19.07927380966146,17.297092599513682,2.4713640297750965,7.888591643667907,49.491461822368194,0.7843096868999443,3,Cluster3,87.06840330961735,,46.21303129018322,112.05149312512579,,
36.62780979344399,12.277108393052972,8.485083781497373,4.433430767694515,49.65001377036781,-0.6284085836467742,2,Cluster2,124.6736673375714,91.49339087201375,,110.19271558302609,,
18.475406412872864,10.231095396932734,4.77671633102893,12.124182406823149,49.82362583551756,0.0987168982397648,3,Cluster3,85.22216994215245,49.132718122515726,,120.2218834467843,,
19.697941025874822,19.353106576925555,4.152003204250058,5.009615189098918,48.453419044063615,0.3705506793734557,1,Cluster1,91.33795987225811,54.92988946721405,52.521911531351854,,,
29.097952154200303,15.120821590567502,4.404340527791013,4.423678818043073,49.02681552882113,-0.2673120697457167,1,Cluster1,106.38117179434101,72.09551382562518,49.06130375115331,106.89131954860238,,
28.483683559985508,11.002970506168596,8.076066977510365,5.55872396260512,48.88099819627583,0.4033741516011921,2,Cluster2,106.90092502024443,74.17957868771965,,110.13811582521453,,
23.55241117858536,11.938939282033807,4.7686254222380775,3.468590856431562,49.41159992425428,0.3365994854588064,3,Cluster3,92.30019567744577,59.89063064608594,,106.41039884427495,,
19.16887813656979,21.705007574959613,4.00706648375879,8.137549277262096,49.11274843051672,-0.7645656562972222,0,Cluster0,93.91394677132958,54.43629412996035,56.6192378738143,112.43535401880597,,
35.77284292136881,0.354807829466127,8.618758692992898,2.7802846185678507,49.66208103597248,-0.2353726747085039,2,Cluster2,110.81444186425477,84.41585512225154,,107.80396834629317,26.679086433603626,
21.87658649318261,16.54473583275243,2.699772984698148,6.535152942694327,49.48542869717942,0.694462978628026,1,Cluster1,91.66339613747373,,46.380306407480305,110.12347330074941,,
18.16919635909164,29.97432808853988,2.198717589588345,6.061572251764995,48.3163587151041,-1.0186108163105816,0,Cluster0,95.78115185822965,,70.72266653805865,,,
16.197108928685257,22.12355609539001,2.795670665015287,9.047444481947878,48.965339093211576,0.2903917958992897,0,Cluster0,87.42727994196389,,54.99614142218829,112.89968024185261,,
33.86099737729934,7.0054531305090855,6.606045722245687,5.204245268738009,49.37469472164416,-0.3429428412502069,2,Cluster2,111.58304362241718,80.79084706197156,,109.85878020751818,,
15.967421595262486,31.239925896855475,2.5124239088188363,8.32349946281591,48.40452653230184,0.6027411830409063,0,Cluster0,94.70467676512668,,72.67461590864058,,,
29.881244815411343,13.431276745120424,5.939915530356528,4.117186582370163,48.56947339441415,-0.259742284720218,1,Cluster1,108.18722737514985,75.12825901419747,,106.28468442756181,,
15.490669213219505,25.813174304247767,4.537791028781686,9.61728926176821,49.11087358726338,-0.5358902982564996,0,Cluster0,92.42939040011859,50.15872182347893,63.64152909475872,114.91657658156991,,
16.337490533881965,22.61837955952691,4.073149541469508,8.944262940509585,48.92597115994804,-0.7746971411860185,0,Cluster0,89.56350484853789,49.319198018545634,57.0913053568713,113.30491150139522,,
15.562636969755324,8.547560656460508,4.336624684658252,12.561410197025912,49.78431993627448,0.2170750969664762,3,Cluster3,77.13356159264224,41.6869161977618,,120.57906751041696,,
16.0143808536502,28.660745860715565,4.154264655705629,9.99079485395758,49.12944982832143,0.7867891660242572,0,Cluster0,95.69423772668965,51.80374245519237,69.08955222094974,115.32222426543203,,
16.790554342067164,23.45618011093532,3.381406789331523,8.898118404861368,48.997762101135535,0.2458104998834974,0,Cluster0,90.81152873218187,,58.566138932293995,113.03340520422888,,
29.3752242581127,14.626512082155102,4.097178210736908,4.125860321457651,49.43157871474577,0.4715291263267167,1,Cluster1,105.82991830626085,71.73794274708159,,107.10053701704646,,
34.2156480865124,23.850501411378,3.1146390791235774,3.770647436205413,48.65938963669597,0.4999109956152576,1,Cluster1,122.66886374392362,,67.67351044732814,104.53206996726185,,
24.83507494687154,33.77767541236816,0.3152278639536812,5.0515880689328645,48.023018610610016,-1.259746722499573,0,Cluster0,109.19822371931363,,79.65824280087598,,,
19.03170026143925,18.04913367874515,3.808275658268463,7.211498980518277,49.1251193862454,-0.3416778078378754,3,Cluster3,89.65157906457031,,49.25155424255946,110.97162507240245,,
32.766308217996055,8.419893585531621,3.4488647778191,3.851396840089598,49.42705144418112,0.1728096348580879,2,Cluster2,105.59222169552964,,,106.35563053740618,,
27.933312024342747,7.165747796076937,7.273438408370472,6.113893931702947,48.93909289604824,0.3318586250471854,2,Cluster2,101.13716424614655,70.02779693423248,,110.68574589383614,11.487048601567993,
31.129126070325675,21.67771201087165,2.4250428334552194,3.420076165123928,48.65071378096379,0.7957783061356235,1,Cluster1,112.81314506861408,,60.94714073729355,103.64406322634109,,
31.492706266618704,16.95930023900795,5.074695294830378,4.042802653324335,49.4388520210445,0.7551032114320504,1,Cluster1,113.54247984024329,78.3220023835549,54.3620973004396,107.47925566949068,,
18.385636618668904,6.05905330163431,6.559880739503301,4.960598961187852,49.74296526005261,0.0711068936148564,3,Cluster3,79.95082286523245,49.569514103795065,,110.20676933163865,,
15.985341486625437,12.066606352962694,5.656385329077229,10.873046803587586,49.76886841634764,0.1121467435882513,3,Cluster3,82.73067818620876,46.376417399759816,,118.67549970261527,,
30.31417173545832,6.054800672373995,6.379769953015024,5.392852927631555,49.77881248295021,0.0233384306432352,2,Cluster2,103.81529334746082,73.20206030598294,,110.83678933385526,,
32.7689747284828,8.953435107383587,7.58063891093397,5.122820494243271,48.92186307757472,-0.0860286951866023,2,Cluster2,112.79865602147255,81.29959668187176,,109.31827635198134,,
19.685022362451058,16.240821391757777,6.970966726103452,5.22755075648256,48.86386727623911,-0.0066990439625226,3,Cluster3,93.1063261782134,57.94020646597366,49.29177116886328,109.0545440502538,,
18.980161208683555,14.399615089566392,6.206491306446607,9.377212303411644,49.771539227131655,-0.1067287465748678,3,Cluster3,91.13732148530019,54.36313817524535,,116.71214256260407,,
26.99450936176458,22.24054020232152,1.542633912572697,4.848714948387619,48.88355066707136,0.570222063358281,1,Cluster1,104.83942053908093,,59.235857966418884,105.81149071301051,,
16.071237704064963,16.89110696772443,2.656227028779007,7.424442354711016,49.56388527959432,0.0670942682023393,3,Cluster3,81.4449924679732,,44.44051268215918,111.59254760564465,,
32.411773859209006,2.059268511284189,6.587816651494177,5.616734601614471,49.37421273105636,-0.0805587010840846,2,Cluster2,104.17945617219479,75.65434825021728,,110.4674356902815,,
17.58167677031541,15.644313079107995,5.268577957426027,9.289046899335164,49.7594719110468,-0.5048699472681923,3,Cluster3,87.72992301380066,50.38350706905567,45.095607527165626,116.08680314980937,,
23.40798349148696,21.33058065566206,4.433646778254274,8.127942630118454,49.00442666161368,-0.0798365063942051,1,Cluster1,103.28336594548925,64.05189097179216,58.75888158212477,112.41759065753217,,
33.01535174532442,17.584619651620258,6.372242542007635,3.9536373887710288,48.30878101114416,-0.551559846090396,1,Cluster1,118.75333630914776,83.82981728338002,57.77337779486516,,,
22.036384581819124,8.371598352674313,4.895707803256597,3.391489956782213,49.45844277804669,0.2890948999539697,3,Cluster3,85.92380068865793,55.31303514490633,,106.45197439289498,,
18.13879947516688,22.61837955952691,4.073149541469508,8.944262940509585,48.92597115994804,0.9458541071936086,0,Cluster0,92.99496576510013,52.75065893510787,57.90638134450997,113.30491150139522,,
21.30864355073413,11.733859728578416,2.1115607026603587,6.954040570128779,49.543642829356,-0.7032523882025598,3,Cluster3,85.06407719557704,,,110.57412686523536,,
33.548443103849394,8.283789734474531,4.563438726981422,3.490739050272332,49.48822305542724,-0.1188236956132444,2,Cluster2,108.59649138988199,77.96511546979495,,106.49427404975368,,
23.43066745298865,16.46435276606011,3.922128455499615,6.67787163330147,49.51819957193974,-0.1500186637356406,1,Cluster1,97.15689729417178,,48.49115838224634,111.01427082158148,,
15.770588275505528,14.123393013886725,5.540126379110471,11.66937651929009,49.6862247871999,-0.2667515740293259,3,Cluster3,84.38580821277915,46.6463110525908,,119.64657754289016,,
19.985447888164064,5.640609359350825,6.61913855999604,5.068350248536879,49.65814089521661,0.4091279272697391,3,Cluster3,82.49433062028002,52.31078036872786,,110.22837644323656,,
25.60979123658069,21.94759379160382,3.3547537836136327,3.211278728697037,48.639461934983785,0.7032622289531131,1,Cluster1,103.42141504307295,,59.70320587063506,103.77321885481994,,
19.412318920093583,18.11745771627825,5.311631878845452,9.712219261421788,49.66972638320181,0.0585861679622547,3,Cluster3,94.54193002908312,55.792228348632214,51.22341368746761,116.56359759795903,,
28.51630859996694,15.735132951319583,5.3163442735782525,4.273709376860045,49.007268829519,0.4602012011727211,1,Cluster1,106.92255446363764,72.41449888478832,50.814663875614535,107.08327386111719,,
